,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
3045,Centre-Back,22,JosÃ© Manuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€100Th. Last update: Jun 30, 2021"
3046,Attacking Midfield,35,JosÃ© Manuel Jurado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,Defensive Midfield,34,JosÃ© Mari,0.09,0.0,0.0,0.09,0.09,0.38,0.0,0.09,0.03,0.02,0.05,0.95,0.09,10.0%,0.0,0.0,27.4,0.0,0.03,0.0,-0.03,21.77,29.53,73.7%,483.88,107.98,7.38,8.9,83.0%,8.8,10.41,84.5%,5.39,9.27,58.2%,0.38,2.18,0.0,0.0,1.32,28.01,1.51,1.04,0.0,6.44,1.8,0.28,0.28,0.0,0.19,0.09,16.47,4.45,8.61,1.8,23.85,1.8,0.09,0.38,0.09,1.23,0.95,0.95,0.47,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,1.04,0.66,0.76,0.09,0.57,1.7,33.3%,1.14,13.82,4.54,32.9%,5.68,7.29,0.85,1.51,0.57,0.0,1.04,2.56,3.41,0.0,39.94,2.84,13.15,23.75,4.92,0.09,38.33,1.23,1.8,68.4%,1.23,0.0,21.1,84.23,39.75,1.42,0.57,0.0,0.28,0.66,20.63,18.83,91.3%,0.38,0.0,1.23,1.42,0.0,0.0,0.0,0.0,11.26,2.18,1.99,52.3%,"€500Th. Last update: Jun 10, 2021"
3048,Centre-Back,26,JosÃ© MarÃ­a GimÃ©nez,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.05,0.05,0.01,0.05,0.79,0.2,25.0%,0.0,0.0,12.6,0.0,0.06,-0.05,-0.05,43.82,49.4,88.7%,991.81,310.14,11.89,12.91,92.1%,21.65,22.96,94.3%,9.66,12.55,77.0%,0.13,2.43,0.13,0.0,2.53,46.91,2.5,1.74,0.03,3.42,1.87,0.03,0.0,0.0,0.0,0.0,37.61,3.51,8.28,7.23,37.68,2.37,0.69,0.36,0.2,0.62,0.36,0.76,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.15,0.82,0.95,0.2,0.0,0.49,1.15,42.9%,0.66,6.57,1.97,30.0%,4.14,2.07,0.36,1.45,0.69,0.0,1.08,2.23,4.66,0.0,58.96,8.51,32.45,27.33,2.89,1.35,56.63,0.16,0.2,83.3%,0.2,0.0,36.13,182.2,106.88,2.33,0.3,0.0,0.36,0.26,40.89,39.65,96.9%,0.2,0.0,0.95,0.85,0.13,0.0,0.03,0.0,7.92,2.99,0.92,76.5%,€60.00
3049,Central Midfield,25,JosÃ© Mauri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00
3050,Attacking Midfield,23,JosÃ© Mena RodrÃ­guez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Apr 19, 2021"
3051,Right-Back,19,JosÃ© Menargues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Jun 30, 2021"
3052,Attacking Midfield,25,JosÃ© Pozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50
3053,Goalkeeper,28,JosÃ© SÃ¡,,,,,0.16,,,,,,,,,,,,,,,,,,23.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€7.50
3054,Left-Back,21,JosÃ© Salinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Oct 13, 2021"
3055,Centre-Back,22,Jose Uche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€50Th. Last update: Jun 30, 2021"
3056,Right-Back,29,Joseba ZaldÃºa,0.0,0.14,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.07,0.07,0.21,0.14,66.7%,0.0,0.0,31.2,0.0,0.01,0.0,0.0,42.66,53.22,80.2%,741.68,301.26,19.65,21.89,89.8%,18.18,22.52,80.7%,3.99,6.99,57.0%,0.63,1.54,1.05,0.49,2.1,41.33,11.89,1.4,0.0,4.9,0.77,2.1,0.0,0.0,0.0,0.0,29.09,11.4,12.73,3.36,34.69,3.22,10.49,0.35,0.0,0.77,0.91,1.54,1.26,0.98,0.0,0.0,0.0,0.07,0.21,0.14,0.14,0.0,0.0,0.0,0.0,0.0,2.73,1.68,1.33,1.26,0.14,0.98,2.03,48.3%,1.05,11.75,3.64,31.0%,4.9,5.31,1.54,1.75,0.21,0.0,1.19,3.92,3.57,0.0,64.13,3.92,18.53,33.22,15.8,0.77,52.73,0.14,0.84,16.7%,0.14,0.0,32.94,136.5,78.04,3.29,1.33,0.07,0.84,0.63,37.55,35.04,93.3%,1.12,0.0,1.96,1.26,0.07,0.0,0.0,0.0,6.99,2.1,1.12,65.2%,€5.00
3057,Centre-Forward,31,Joselu,0.43,0.11,0.27,0.16,0.21,0.03,0.0,0.42,0.26,0.1,0.36,2.44,0.88,36.3%,0.11,0.3,16.4,0.08,0.11,0.01,0.01,19.58,31.45,62.3%,302.76,66.19,11.41,15.94,71.6%,6.21,10.5,59.2%,1.5,3.35,44.8%,0.75,1.77,0.56,0.08,2.28,30.4,1.04,0.0,0.05,12.8,0.59,0.88,0.0,0.0,0.0,0.0,13.47,9.51,8.46,4.42,14.6,3.96,0.13,1.13,0.16,0.67,1.29,0.75,1.71,1.1,0.0,0.08,0.24,0.21,0.08,0.24,0.11,0.0,0.03,0.03,0.05,0.03,0.62,0.4,0.19,0.35,0.08,0.11,0.88,12.1%,0.78,15.4,3.56,23.1%,1.45,7.61,6.35,0.88,0.13,0.0,0.59,1.21,1.53,0.0,44.44,1.71,4.31,23.28,17.89,4.77,43.15,0.51,1.39,36.5%,0.67,0.11,20.57,62.6,21.8,1.37,0.24,0.35,2.33,1.37,53.12,33.62,63.3%,5.41,0.0,1.37,2.2,0.35,0.05,0.0,0.0,4.77,8.2,4.02,67.1%,€6.00
3058,Centre-Back,25,Josema,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.02,0.03,0.33,0.0,0.0%,0.0,,17.5,0.0,0.05,-0.01,-0.01,34.4,45.65,75.4%,667.94,269.87,13.6,15.7,86.7%,16.16,20.34,79.4%,4.38,8.57,51.1%,0.33,1.77,0.46,0.33,1.37,38.26,7.39,1.24,0.0,5.23,1.5,1.31,0.0,0.0,0.0,0.0,26.16,6.74,12.75,34.01,2.88,1.44,6.15,0.2,0.0,1.11,1.37,1.44,0.72,0.52,0.13,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,1.37,1.64,0.59,0.07,0.33,0.78,41.7%,0.46,11.9,4.06,34.1%,7.72,3.47,0.72,1.83,0.39,0.0,1.77,4.06,4.38,0.0,56.77,6.8,27.14,24.46,8.05,0.33,49.51,0.26,0.39,66.7%,0.26,0.0,30.09,163.78,98.76,2.62,0.98,0.0,0.59,0.26,34.01,31.98,94.0%,0.72,0.0,1.37,1.11,0.0,0.0,0.07,0.0,6.93,1.7,1.7,50.0%,€1.00
3059,Centre-Back,21,Josep Antoni GayÃ¡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,Goalkeeper,23,Josep Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.50
3061,Attacking Midfield,30,Josep SeÃ±Ã©,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Jun 24, 2021"
3062,Centre-Back,26,Joseph Aidoo,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.03,0.0,0.03,0.46,0.0,0.0%,0.0,,10.8,0.0,0.06,-0.03,-0.03,43.1,50.71,85.0%,1006.66,280.23,9.05,9.84,92.0%,23.75,25.78,92.1%,9.84,13.97,70.4%,0.07,3.15,0.0,0.0,3.02,49.53,1.18,0.92,0.07,6.69,1.12,0.0,0.0,0.0,0.0,0.0,37.72,3.87,9.12,8.46,37.92,2.56,0.26,0.13,0.2,1.44,0.79,0.79,0.66,0.39,0.0,0.07,0.2,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.97,1.31,1.77,0.2,0.0,0.66,1.18,55.6%,0.52,11.87,3.94,33.1%,8.46,3.28,0.13,1.31,0.52,0.0,1.38,3.35,6.36,0.2,62.58,7.81,35.82,29.78,1.18,0.85,61.4,0.2,0.26,75.0%,0.26,0.0,39.23,237.92,134.54,3.28,0.13,0.0,0.39,0.33,40.41,39.69,98.2%,0.07,0.0,0.66,0.85,0.0,0.0,0.0,0.0,9.31,3.8,2.95,56.3%,€5.00
3063,Goalkeeper,21,Joseph Anang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,Central Midfield,25,Joseph Minala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Oct 28, 2021"
3065,Right-Back,18,Joseph Scally,0.07,0.07,0.07,0.0,0.0,0.15,0.0,0.06,0.06,0.09,0.15,0.88,0.29,33.3%,0.08,0.25,20.6,0.0,0.07,0.01,0.01,44.01,54.75,80.4%,808.31,266.91,19.5,22.44,86.9%,18.25,21.86,83.5%,5.59,8.54,65.5%,0.88,2.58,0.88,0.44,4.05,43.71,11.04,0.52,0.07,6.92,0.88,1.62,0.0,0.0,0.0,0.0,32.75,12.66,9.35,8.98,33.04,1.4,10.52,0.22,0.07,0.59,1.32,1.4,1.91,1.77,0.07,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.69,0.88,0.74,0.66,0.29,0.74,1.77,41.7%,1.03,16.56,5.45,32.9%,6.03,6.92,3.61,1.47,0.07,0.0,1.47,3.16,1.62,0.0,68.81,1.99,17.44,36.06,19.8,1.4,58.21,1.25,2.06,60.7%,1.25,0.07,43.57,215.84,105.23,5.15,1.25,0.37,2.72,1.25,45.92,42.02,91.5%,2.72,0.0,1.4,2.58,0.07,0.0,0.0,0.0,8.24,1.03,1.32,43.8%,€4.00
3066,Central Midfield,22,Joseph Tetteh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€25Th. Last update: Jun 24, 2021"
3067,Central Midfield,22,Josh Benson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Nov 24, 2021"
3068,Central Midfield,25,Josh Brownhill,0.0,0.03,0.0,0.0,0.0,0.14,0.0,0.06,0.06,0.05,0.11,1.07,0.28,26.3%,0.0,0.0,21.0,0.2,0.05,-0.06,-0.06,26.84,34.81,77.1%,440.08,103.03,13.85,16.16,85.7%,9.49,11.78,80.6%,2.51,5.0,50.3%,0.76,2.18,0.62,0.06,2.49,33.99,0.82,0.23,0.03,6.98,0.82,0.62,0.17,0.14,0.0,0.03,20.03,6.02,8.76,3.48,26.19,3.33,0.25,0.2,0.11,0.51,0.79,1.27,1.55,1.22,0.06,0.0,0.06,0.17,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.36,0.73,0.42,0.79,0.14,0.17,1.13,15.0%,0.96,15.46,3.9,25.2%,3.79,7.69,3.98,1.72,0.45,0.03,1.89,3.25,1.75,0.0,44.53,2.49,8.25,23.34,14.64,2.01,43.54,0.4,0.62,63.6%,0.45,0.0,22.27,96.73,40.21,2.18,0.65,0.25,0.73,0.42,29.36,24.64,83.9%,2.74,0.0,1.55,1.16,0.06,0.0,0.0,0.0,10.79,1.64,1.38,54.2%,€7.00
3069,Central Midfield,25,Josh Cullen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€3.00
3070,Centre-Back,24,Josh Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€600Th. Last update: Nov 24, 2021"
3071,Centre-Forward,22,Josh Maja,0.27,0.0,0.18,0.09,0.09,0.0,0.0,0.45,0.38,0.11,0.49,1.89,0.72,38.1%,0.1,0.25,14.2,0.0,0.2,-0.18,-0.2,17.5,20.02,87.4%,268.65,23.27,10.01,10.82,92.5%,5.68,6.31,90.0%,1.26,1.35,93.3%,0.99,0.54,0.45,0.0,0.81,19.21,0.81,0.0,0.0,4.6,0.27,0.0,0.0,0.0,0.0,0.0,15.33,3.34,1.35,3.52,15.24,0.27,0.18,0.36,0.0,0.09,0.45,0.54,2.07,1.44,0.0,0.36,0.18,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.54,0.18,0.27,0.27,0.18,0.99,18.2%,0.81,13.53,3.88,28.7%,0.99,6.13,6.4,0.63,0.09,0.0,0.54,1.26,0.36,0.0,29.85,0.45,2.62,16.05,12.44,4.06,28.95,1.26,1.44,87.5%,1.26,0.0,21.73,71.15,26.69,1.26,0.45,0.18,2.43,2.07,43.65,21.73,49.8%,6.67,0.0,0.99,1.35,0.27,0.0,0.0,0.0,4.33,0.9,3.61,20.0%,€5.00
3072,Left Winger,20,Josh Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00
3073,Left Winger,26,Josh Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.00
3074,Attacking Midfield,24,Josh Onomah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€5.00
3075,Centre-Back,24,Josh Pask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Nov 24, 2021"
3076,Centre-Forward,21,Josh Sargent,0.15,0.0,0.15,0.0,0.0,0.18,0.0,0.18,0.18,0.11,0.29,1.53,0.4,26.2%,0.1,0.36,15.6,0.0,0.11,-0.03,-0.03,17.0,22.51,75.5%,244.65,46.62,10.32,12.77,80.9%,5.44,7.08,76.8%,0.91,1.31,69.4%,0.99,1.02,0.33,0.07,1.39,21.56,0.95,0.0,0.11,5.8,0.07,0.66,0.0,0.0,0.0,0.0,14.15,5.22,3.14,4.41,14.34,1.09,0.22,0.69,0.04,0.33,0.73,1.64,1.97,1.39,0.0,0.15,0.15,0.26,0.04,0.07,0.0,0.0,0.0,0.0,0.04,0.04,1.42,0.88,0.62,0.51,0.29,0.44,1.39,31.6%,0.95,19.44,5.0,25.7%,3.61,9.23,6.6,1.79,0.15,0.0,1.09,2.52,1.31,0.0,36.19,1.42,5.51,18.2,14.41,3.61,35.24,0.95,1.53,61.9%,0.99,0.0,21.31,99.19,42.79,2.12,0.8,0.29,2.66,1.82,43.12,22.76,52.8%,5.62,0.0,1.06,1.9,0.22,0.0,0.0,0.04,5.65,2.23,3.72,37.4%,€8.00
3077,Right Winger,24,Josh Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€900Th. Last update: Oct 28, 2021"
3078,Left-Back,22,Josh Tymon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.80
3079,Left-Back,18,Josh Wilson-Esbrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Oct 5, 2021"
3080,Right-Back,20,Josha Vagnoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€4.00
3081,Right-Back,27,Joshua Brenet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€800Th. Last update: Jun 9, 2021"
3082,Defensive Midfield,26,Joshua Kimmich,0.16,0.27,0.16,0.0,0.0,0.11,0.0,0.12,0.12,0.25,0.37,1.41,0.53,37.7%,0.11,0.3,21.4,0.05,0.08,0.04,0.04,73.1,87.16,83.9%,1543.45,477.51,26.53,28.97,91.6%,31.62,35.15,90.0%,13.85,21.11,65.6%,2.73,9.26,2.33,0.29,9.6,76.31,10.85,4.24,0.32,12.36,5.38,1.49,5.65,3.02,1.88,0.24,60.21,8.62,18.33,15.28,67.72,2.39,0.9,0.34,0.53,0.9,2.33,1.22,4.67,2.73,1.67,0.05,0.11,0.08,0.03,0.69,0.4,0.29,0.0,0.0,0.0,0.0,1.64,1.33,0.64,0.74,0.27,0.56,2.47,22.6%,1.91,18.54,5.73,30.9%,4.99,9.84,3.71,1.38,0.16,0.0,2.12,3.77,1.17,0.03,96.9,3.18,20.11,54.83,29.47,1.54,86.79,0.77,1.14,67.4%,0.77,0.03,63.18,392.36,186.02,7.03,1.91,0.24,0.85,0.72,72.52,67.96,93.7%,2.57,0.0,0.9,1.75,0.0,0.0,0.0,0.0,10.74,0.69,0.72,49.1%,€90.00
3083,Second Striker,29,Joshua King,0.39,0.16,0.31,0.08,0.08,0.24,0.0,0.5,0.44,0.16,0.6,2.2,0.87,39.3%,0.14,0.36,13.2,0.0,0.2,-0.11,-0.13,15.03,21.48,70.0%,231.92,40.91,8.42,10.94,77.0%,5.27,7.63,69.1%,1.1,1.42,77.8%,1.49,0.79,0.63,0.08,1.18,20.14,1.34,0.0,0.08,7.32,0.24,0.79,0.0,0.0,0.0,0.0,13.53,4.33,3.62,1.1,15.66,1.26,0.0,0.79,0.16,0.16,1.26,0.87,2.36,1.73,0.0,0.16,0.24,0.16,0.08,0.39,0.24,0.0,0.08,0.08,0.0,0.0,1.18,0.71,0.24,0.47,0.47,0.16,0.47,33.3%,0.31,20.45,5.82,28.5%,2.67,8.58,9.2,0.94,0.08,0.0,0.63,1.81,0.87,0.0,34.46,0.94,3.15,15.26,18.25,5.43,33.04,1.42,2.44,58.1%,1.49,0.16,21.32,118.32,65.3,3.62,1.42,1.02,3.23,2.12,48.78,24.55,50.3%,7.32,0.0,1.65,0.71,0.71,0.08,0.0,0.0,4.17,3.54,5.35,39.8%,€8.00
3084,Left Winger,25,Joshua Mees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€650Th. Last update: Jun 16, 2021"
3085,Centre-Forward,20,Joshua Zirkzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€8.00
3086,Left Winger,23,Josip Brekalo,0.43,0.14,0.43,0.0,0.0,0.1,0.0,0.2,0.2,0.2,0.39,2.0,0.91,45.2%,0.21,0.47,18.2,0.05,0.1,0.23,0.23,32.11,44.4,72.3%,633.81,140.46,12.91,16.2,79.7%,12.91,16.53,78.1%,5.43,8.86,61.3%,1.91,2.38,1.0,0.24,3.53,40.78,3.62,1.14,0.1,8.62,2.14,2.0,1.67,0.57,0.76,0.0,29.59,6.05,8.77,6.1,35.78,1.19,0.52,0.14,0.24,0.76,2.1,0.95,3.62,2.43,0.71,0.24,0.19,0.05,0.0,0.43,0.29,0.0,0.0,0.1,0.05,0.0,0.91,0.57,0.33,0.29,0.29,0.33,1.52,21.9%,1.19,15.2,4.48,29.5%,2.91,6.91,5.38,0.95,0.0,0.0,0.71,1.62,0.38,0.0,55.7,0.43,4.91,25.92,29.3,3.05,52.17,1.19,2.19,54.3%,1.38,0.05,39.02,225.88,113.58,6.62,2.1,0.81,2.29,2.0,53.84,41.16,76.5%,7.05,0.0,0.86,0.62,0.24,0.0,0.0,0.0,6.77,0.71,1.33,34.9%,€12.00
3087,Centre-Forward,29,Josip DrmiÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50
3088,Centre-Back,27,Josip Elez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€600Th. Last update: Jun 16, 2021"
